Date,Visits,Department
2020-07-01,113.54203667128965,Oncology
2020-08-01,117.51980648434929,Oncology
2020-09-01,121.13130357898278,Oncology
2020-10-01,118.4394023978395,Oncology
2020-11-01,120.68136233838936,Oncology
2020-12-01,129.86409978990582,Oncology
2021-01-01,126.955006685632,Oncology
2021-02-01,123.61802449454491,Oncology
2021-03-01,126.16040517590781,Oncology
2021-04-01,128.80974123670228,Oncology
2021-05-01,137.23343456558842,Oncology
2021-06-01,136.57764423837926,Oncology
2021-07-01,140.235545133035,Oncology
2021-08-01,135.39173742192926,Oncology
2021-09-01,138.92482031306736,Oncology
2021-10-01,141.7589776121119,Oncology
2021-11-01,137.51620215787244,Oncology
2021-12-01,141.75165443936527,Oncology
2022-01-01,136.5765440583705,Oncology
2022-02-01,138.54312501464642,Oncology
2022-03-01,139.01465252661995,Oncology
2022-04-01,135.6383599356066,Oncology
2022-05-01,144.90915470536655,Oncology
2022-06-01,141.17564402008966,Oncology
2022-07-01,144.8493508149343,Oncology
2022-08-01,148.68943436188243,Oncology
2022-09-01,150.26453580984222,Oncology
2022-10-01,153.35880547455645,Oncology
2022-11-01,151.7932736448058,Oncology
2022-12-01,152.6703886610751,Oncology
2023-01-01,157.1240646665713,Oncology
2023-02-01,152.03762013164845,Oncology
2023-03-01,156.38199580143635,Oncology
2023-04-01,160.30984393483956,Oncology
2023-05-01,165.37216010946437,Oncology
2023-06-01,175.8850448973209,Oncology
2023-07-01,172.94038297477792,Oncology
2023-08-01,179.1721220862767,Oncology
2023-09-01,191.12716713120554,Oncology
2023-10-01,186.35080200237667,Oncology
2023-11-01,195.21557849594734,Oncology
2023-12-01,190.11502996264676,Oncology
2024-01-01,196.8383277686883,Oncology
2024-02-01,195.9975205707667,Oncology
2024-03-01,201.71183728720752,Oncology
2024-04-01,210.0283819332122,Oncology
2024-05-01,199.35985399527277,Oncology
2024-06-01,212.08364652776936,Oncology
2024-07-01,212.76289839528144,Oncology
2024-08-01,210.02237152322823,Oncology
2024-09-01,206.95273848713944,Oncology
2024-10-01,215.5252149415525,Oncology
2024-11-01,213.31621004006604,Oncology
2024-12-01,217.77430607126678,Oncology
2025-01-01,217.25002784783672,Oncology
2025-02-01,225.5995294167953,Oncology
2025-03-01,216.80322186263487,Oncology
2020-04-01,89.88251253689067,Neurology
2020-05-01,99.4870131349723,Neurology
2020-06-01,103.24075054007832,Neurology
2020-07-01,112.40686289069545,Neurology
2020-08-01,113.1392298149579,Neurology
2020-09-01,113.9489226987307,Neurology
2020-10-01,122.4995422151795,Neurology
2020-11-01,112.04930603009794,Neurology
2020-12-01,117.37546271987132,Neurology
2021-01-01,118.27864860301244,Neurology
2021-02-01,123.0474070954557,Neurology
2021-03-01,119.94341050814367,Neurology
2021-04-01,131.58275740078236,Neurology
2021-05-01,128.63651735982575,Neurology
2021-06-01,123.51148408551313,Neurology
2021-07-01,126.70522295665847,Neurology
2021-08-01,134.09556989086292,Neurology
2021-09-01,137.3227546971557,Neurology
2021-10-01,143.61468010073415,Neurology
2021-11-01,148.63224718651028,Neurology
2021-12-01,136.53982541795818,Neurology
2022-01-01,129.93848316354445,Neurology
2022-02-01,124.69816284381523,Neurology
2022-03-01,137.26189930833078,Neurology
2022-04-01,132.55285268700015,Neurology
2022-05-01,135.3975060005402,Neurology
2022-06-01,135.46217172580424,Neurology
2022-07-01,139.08292578921393,Neurology
2022-08-01,146.6156022212911,Neurology
2022-09-01,143.81712276691923,Neurology
2022-10-01,144.23870574449907,Neurology
2022-11-01,142.10743230322385,Neurology
2022-12-01,141.41346549777407,Neurology
2023-01-01,150.09111617573663,Neurology
2023-02-01,155.20537954734698,Neurology
2023-03-01,167.4572077314512,Neurology
2023-04-01,162.57471460397602,Neurology
2023-05-01,170.27209180258706,Neurology
2023-06-01,166.38969577100798,Neurology
2023-07-01,166.5430594194931,Neurology
2023-08-01,171.23735104531178,Neurology
2023-09-01,176.00489531959644,Neurology
2023-10-01,193.77447051985962,Neurology
2023-11-01,182.42106725749,Neurology
2023-12-01,193.97556438137786,Neurology
2024-01-01,188.3508796675913,Neurology
2024-02-01,200.4054959096908,Neurology
2024-03-01,200.33175749723964,Neurology
2024-04-01,200.04365175763476,Neurology
2024-05-01,202.79264348055736,Neurology
2024-06-01,201.63758983289313,Neurology
2024-07-01,208.80458139103047,Neurology
2024-08-01,205.7182039000083,Neurology
2024-09-01,203.05499894024547,Neurology
2024-10-01,203.77487953138507,Neurology
2024-11-01,211.82661317399564,Neurology
2024-12-01,219.50638129654544,Neurology
2025-01-01,212.94072518808667,Neurology
2025-02-01,211.9974433296413,Neurology
2025-03-01,214.42913069801273,Neurology
